word,pronunciation
descend,dɪsɛnd
descendant,dɪsɛndənt
descendants,dɪsɛnɪnts
descended,dɪsɛndɪd
descendent,dɪsɛndənt
descending,dɪsɛndɪŋ
descends,dɪsɛndz
descent,dɪsɛnt
descents,dɪsɛnts
describable,dɪskraɪbəbəl
describe,dɪskraɪb
described,dɪskraɪbd
describes,dɪskraɪbz
describing,dɪskraɪbɪŋ
description,dɪskrɪpʃən
descriptions,dɪskrɪpʃənz
descriptive,dɪskrɪptɪv
desecrate,dɛzəkreɪt
desecrated,dɛzəkreɪtɪd
desecrates,dɛzəkreɪts
desecration,dɛzəkreɪʃən
desegregation,disɛgrəgeɪʃən
desert,dɛzərt
deserted,dɪzərtɪd
deserter,dɛzərtər
deserters,dɛzərtərz
deserting,dɛzərtɪŋ
desertion,dɪzərʃən
desertions,dɪzərʃənz
deserts,dɛzərts
deserve,dɪzərv
deserved,dɪzərvd
deservedly,dɪzərvədli
deserves,dɪzərvz
deserving,dɪzərvɪŋ
desiccated,dɛsəkeɪtəd
desiccation,dɛsəkeɪʃən
desiderata,deɪzɪdərɑtə
design,dɪzaɪn
designate,dɛzɪgneɪt
designated,dɛzɪgneɪtɪd
designates,dɛzɪgneɪts
designating,dɛzɪgneɪtɪŋ
designation,dɛzɪgneɪʃən
designations,dɛzəgneɪʃənz
designed,dɪzaɪnd
designer,dɪzaɪnər
designers,dɪzaɪnərz
designing,dɪzaɪnɪŋ
designs,dɪzaɪnz
desirability,dɪzaɪrəbɪlɪti
desirable,dɪzaɪərəbəl
desire,dɪzaɪər
desired,dɪzaɪərd
desires,dɪzaɪərz
desiring,dɪzaɪərɪŋ
desirous,dɪzaɪrəs
desist,dɪzɪst
desk,dɛsk
desks,dɛsks
desktop,dɛsktɑp
desktops,dɛsktɑps
desolate,dɛzələt
desolation,dɛsəleɪʃən
despair,dɪspɛr
despaired,dɪspɛrd
despairing,dɪspɛrɪŋ
despairs,dɪspɛrz
desperado,dɛspərɑdoʊ
desperate,dɛspərɪt
desperately,dɛspərətli
desperation,dɛspəreɪʃɪn
despicable,dɪspɪkəbəl
despise,dɪspaɪz
despised,dɪspaɪzd
despises,dɪspaɪzɪz
despising,dɪspaɪzɪŋ
despite,dɪspaɪt
despondency,dɪspɑndənsi
despondent,dɪspɑndənt
despot,dɛspət
despotic,dɪspɑtɪk
despotism,dɛspətɪzəm
dessert,dɪzərt
desserts,dɪzərts
destination,dɛstɪneɪʃən
destinations,dɛstəneɪʃənz
destined,dɛstɪnd
destinies,dɛstəniz
destiny,dɛstəni
destitute,dɛstətut
destitution,dɛstətuʃən
destroy,dɪstrɔɪ
destroyed,dɪstrɔɪd
destroyer,dɪstrɔɪər
destroyers,dɪstrɔɪərz
destroying,dɪstrɔɪɪŋ
destroys,dɪstrɔɪz
destruct,dɪstrəkt
destruction,dɪstrəkʃən
destructive,dɪstrəktɪv
destructiveness,dɪstrəktɪvnɪs
desultory,dɛsəltɔri
detach,dɪtæʧ
detachable,dɪtæʧəbəl
detached,dɪtæʧt
detaches,dɪtæʧɪz
detachment,dɪtæʧmənt
detail,diteɪl
detailed,dɪteɪld
detailing,dɪteɪlɪŋ
details,diteɪlz
detain,dɪteɪn
detained,dɪteɪnd
detainee,diteɪni
detainees,dɪteɪniz
detaining,dɪteɪnɪŋ
detect,dɪtɛkt
detectable,dɪtɛktəbəl
detected,dɪtɛktɪd
detecting,dɪtɛktɪŋ
detection,dɪtɛkʃən
detective,dɪtɛktɪv
detectives,dɪtɛktɪvz
detector,dɪtɛktər
detectors,dɪtɛktərz
detects,dɪtɛkts
detente,deɪtɑnt
detention,dɪtɛnʃən
detentions,dɪtɛnʃənz
deter,dɪtər
detergent,dɪtərʤənt
detergents,dɪtərʤənts
deteriorate,dɪtɪriəreɪt
deteriorated,dɪtɪriəreɪtɪd
deteriorates,dɪtɪriəreɪts
deteriorating,dɪtɪriəreɪtɪŋ
deterioration,dɪtɪriəreɪʃən
determinable,dɪtərmənəbəl
determinant,dɪtərmənənt
determinants,dɪtərmənənts
determinate,dɪtərməneɪt
determination,dɪtərməneɪʃən
determinations,dɪtərmɪneɪʃənz
determinative,dɪtərmɪnətɪv
determine,dɪtərmən
determined,dɪtərmənd
determinedly,dətərmənədli
determines,dɪtərmənz
determining,dɪtərmənɪŋ
determinism,dɪtərmənɪzəm
determinist,dɪtərmənəst
deterministic,dɪtərmənɪstɪk
deterred,dɪtərd
deterrence,dɪtərəns
deterrent,dɪtərrənt
deterrents,dɪtərənts
deterring,dɪtərɪŋ
deters,dɪtərz
detest,dɪtɛst
detested,dɪtɛstɪd
dethrone,dɪθroʊn
dethroned,dɪθroʊnd
detonate,dɛtəneɪt
detonated,dɛtəneɪtəd
detonating,dɛtəneɪtɪŋ
detonation,dɛtəneɪʃən
detonations,dɛtəneɪʃənz
detonator,dɛtəneɪtər
detonators,dɛtəneɪtərz
detour,ditʊr
detoured,ditʊrd
detours,ditʊrz
detox,ditɑks
detoxification,dɪtɑksɪfɪkeɪʃən
detoxify,dɪtɑksəfaɪ
detract,dɪtrækt
detracted,dɪtræktɪd
detracting,dɪtræktɪŋ
detractor,ditræktər
detractors,dɪtræktərz
detracts,dɪtrækts
detriment,dɛtrəmənt
detrimental,dɛtrəmɛnəl
detritus,dɛtrətəs
detroit,ditrɔɪt
deuce,dus
deuterium,dutiriəm
devaluation,divæljueɪʃən
devaluations,divæljueɪʃənz
devalue,dɪvælju
devalued,dɪvæljud
devaluing,dɪvæljuɪŋ
devastate,dɛvəsteɪt
devastated,dɛvəsteɪtɪd
devastating,dɛvəsteɪtɪŋ
devastatingly,dɛvəsteɪtɪŋli
devastation,dɛvəsteɪʃən
develop,dɪvɛləp
developed,dɪvɛləpt
developer,dɪvɛləpər
developers,dɪvɛləpərz
developing,dɪvɛləpɪŋ
development,dɪvɛləpmənt
developmental,dɪvɛləpmɛnəl
developmentally,dɪvɛləpmɛnəli
developments,dɪvɛləpmənts
develops,dɪvɛləps
deviance,diviəns
deviancy,divjɛnsi
deviant,diviənt
deviants,diviənts
deviate,divieɪt
deviated,divieɪtɪd
deviates,divieɪts
deviating,divieɪtɪŋ
deviation,divieɪʃən
deviations,divieɪʃənz
device,dɪvaɪs
devices,dɪvaɪsɪz
devil,dɛvəl
devilish,dɛvlɪʃ
devilishly,dɛvəlɪʃli
devils,dɛvəlz
devious,diviəs
devise,dɪvaɪz
devised,dɪvaɪzd
devises,dɪvaɪzɪz
devising,dɪvaɪzɪŋ
devoid,dɪvɔɪd
devolution,dɛvəluʃən
devolve,dɪvɑlv
devolved,dɪvɑlvd
devote,dɪvoʊt
devoted,dɪvoʊtɪd
devotee,dɛvəti
devotees,dɛvətiz
devotes,dɪvoʊts
devoting,dɪvoʊtɪŋ
devotion,dɪvoʊʃən
devotional,dɪvoʊʃənəl
devour,dɪvaʊər
devoured,dɪvaʊərd
devouring,dɪvaʊərɪŋ
devours,dɪvaʊərz
devout,dɪvaʊt
devoutly,dɪvaʊtli
dew,du
dews,duz
dewy,dui
dexterity,dɛkstɛrɪti
dextrose,dɛkstroʊs
dextrous,dɛkstrəs
diabetes,daɪəbitiz
diabetic,daɪəbɛtɪk
diabetics,daɪəbɛtɪks
diabolical,daɪəbɑlɪkəl
diacritical,daɪəkrɪtəkəl
diacritics,daɪəkrɪtəks
diadem,daɪədɛm
diagnose,daɪəgnoʊs
diagnosed,daɪəgnoʊst
diagnoses,daɪəgnoʊsiz
diagnosing,daɪəgnoʊsɪŋ
diagnosis,daɪəgnoʊsəs
diagnostic,daɪəgnɑstɪk
diagnostics,daɪəgnɑstɪks
diagonal,daɪægənəl
diagonally,daɪægənəli
diagonals,daɪægənəlz
diagram,daɪəgræm
diagrammatic,daɪəgrəmætɪk
diagrams,daɪəgræmz
dial,daɪəl
dialect,daɪəlɛkt
dialectic,daɪəlɛktɪk
dialectical,daɪəlɛktɪkəl
dialects,daɪəlɛkts
dialing,daɪəlɪŋ
dialog,daɪəlɔg
dialogue,daɪəlɔg
dialogues,daɪəlɔgz
dials,daɪəlz
dialysis,daɪælɪsɪs
diamante,daɪəmɑnti
diameter,daɪæmətər
diametrically,daɪəmɛtrɪkəli
diamond,daɪmənd
diamonds,daɪməndz
diana,daɪænə
diaper,daɪpər
diapers,daɪəpərz
diaphanous,daɪæfənɪs
diaphragm,daɪəfræm
diaries,daɪəriz
diarrhea,daɪəriə
diarrhoea,daɪəriə
diary,daɪəri
diaspora,daɪæspərə
diastolic,daɪəstɑlɪk
diathermy,daɪəθərmi
diatomic,daɪətɑmɪk
diatoms,daɪətɑmz
diatonic,daɪətɑnɪk
diatribe,daɪətraɪb
diatribes,daɪətraɪbz
dice,daɪs
diced,daɪst
dicey,daɪsi
dichotomy,daɪkɑtəmi
dicing,daɪsɪŋ
dickens,dɪkənz
dictate,dɪkteɪt
dictated,dɪkteɪtɪd
dictates,dɪkteɪts
dictating,dɪkteɪtɪŋ
dictation,dɪkteɪʃən
dictator,dɪkteɪtər
dictatorial,dɪktətɔriəl
dictators,dɪkteɪtərz
dictatorship,dɪkteɪtərʃɪp
dictatorships,dɪkteɪtərʃɪps
diction,dɪkʃən
dictionaries,dɪkʃənɛriz
dictionary,dɪkʃənɛri
dictum,dɪktəm
did,dɪd
didactic,daɪdæktɪk
die,daɪ
died,daɪd
diehard,daɪhɑrd
diehards,daɪhɑrdz
dies,daɪz
diesel,dizəl
diesels,dizəlz
diet,daɪət
dietary,daɪətɛri
dieter,ditər
dietetic,daɪətɛtɪk
dietician,daɪətɪʃən
dieting,daɪətɪŋ
dietitian,daɪətɪʃən
dietitians,daɪətɪʃənz
diets,daɪɪts
differ,dɪfər
differed,dɪfərd
difference,dɪfərəns
differences,dɪfərənsɪz
different,dɪfərənt
differential,dɪfərɛnʃəl
differentials,dɪfərɛnʃəlz
differentiate,dɪfərɛnʧieɪt
differentiated,dɪfərɛnʧieɪtəd
differentiates,dɪfərɛnʧieɪts
differentiating,dɪfərɛnʧieɪtɪŋ
differentiation,dɪfərɛnʧieɪʃən
differently,dɪfərɛntli
differing,dɪfərɪŋ
differs,dɪfərz
difficult,dɪfəkəlt
difficulties,dɪfɪkəltiz
difficulty,dɪfɪkəlti
diffract,dɪfrækt
diffraction,dɪfrækʃən
diffuse,dɪfjuz
diffused,dɪfjuzd
diffuses,dɪfjuzəz
diffusing,dɪfjuzɪŋ
diffusion,dɪfjuʒən
dig,dɪg
digest,daɪʤɛst
digested,daɪʤɛstɪd
digester,daɪʤɛstər
digestible,daɪʤɛstəbəl
digesting,daɪʤɛstɪŋ
digestion,daɪʤɛsʧən
digestive,daɪʤɛstɪv
digests,daɪʤɛsts
digger,dɪgər
diggers,dɪgərz
digging,dɪgɪŋ
digit,dɪʤɪt
digital,dɪʤɪtəl
digitalis,dɪʤətæləs
digitally,dɪʤətəli
digits,dɪʤɪts
dignified,dɪgnəfaɪd
dignify,dɪgnəfaɪ
dignitaries,dɪgnətɛriz
dignitary,dɪgnətɛri
dignity,dɪgnəti
digress,daɪgrɛs
digressed,daɪgrɛst
digressing,daɪgrɛsɪŋ
digression,daɪgrɛʃən
digressions,daɪgrɛʃənz
digs,dɪgz
dikes,daɪks
dilapidated,dɪlæpədeɪtɪd
dilatation,dɪləteɪʃən
dilate,daɪleɪt
dilated,daɪleɪtɪd
dilation,daɪleɪʃən
dilatory,dɪlətɔri
dildo,dɪldoʊ
dilemma,dɪlɛmə
dilemmas,dəlɛməz
diligence,dɪlɪʤəns
diligent,dɪlɪʤənt
diligently,dɪləʤəntli
dill,dɪl
dilly,dɪli
dilute,dɪlut
diluted,dɪlutəd
dilutes,dɪluts
diluting,dɪlutɪŋ
dilution,dɪluʃən
dim,dɪm
dime,daɪm
dimension,dɪmɛnʃən
dimensional,dɪmɛnʃənəl
dimensionality,dɪmɛnʃənæləti
dimensioned,dəmɛnʧənd
dimensions,dɪmɛnʃənz
dimer,daɪmər
dimes,daɪmz
diminish,dɪmɪnɪʃ
diminished,dɪmɪnɪʃt
diminishes,dɪmɪnɪʃɪz
diminishing,dɪmɪnɪʃɪŋ
diminution,dɪmənuʃən
diminutive,dɪmɪnjətɪv
dimly,dɪmli
dimmed,dɪmd
dimmer,dɪmər
dimmers,dɪmərz
dimming,dɪmɪŋ
dimorphic,daɪmɔrfɪk
dimorphism,daɪmɔrfɪzəm
dimple,dɪmpəl
dimpled,dɪmpəld
dimples,dɪmpəlz
dims,dɪmz
din,dɪn
dinar,dɪnɑr
dinars,dɪnɑrz
dine,daɪn
dined,daɪnd
diner,daɪnər
diners,daɪnərz
dines,daɪnz
ding,dɪŋ
dinghy,dɪŋi
dingle,dɪŋgəl
dingo,dɪŋgoʊ
dingy,dɪnʤi
dining,daɪnɪŋ
dinky,dɪŋki
dinner,dɪnər
dinners,dɪnərz
dinosaur,daɪnəsɔr
dinosaurs,daɪnəsɔrz
dint,dɪnt
diocesan,daɪɑsəsən
diocese,daɪəsiz
diode,daɪoʊd
diodes,daɪoʊdz
dioxide,daɪɑksaɪd
dioxides,daɪɑksaɪdz
dioxin,daɪɑksɪn
dioxins,daɪɑksɪnz
dip,dɪp
diphtheria,dɪfθɪriɑ
diphthong,dɪfθɔŋ
diploma,dɪploʊmɑ
diplomacy,dɪploʊməsi
diplomas,dɪploʊməz
diplomat,dɪpləmæt
diplomatic,dɪpləmætɪk
diplomatically,dɪpləmætɪkli
diplomats,dɪpləmæts
dipole,daɪpoʊl
dipped,dɪpt
dipper,dɪpər
dipping,dɪpɪŋ
dips,dɪps
dipstick,dɪpstɪk
dire,daɪər
direct,dɪrɛkt
directed,dɪrɛktɪd
directing,dɪrɛktɪŋ
direction,dɪrɛkʃɪn
directional,dɪrɛkʃɪnəl
directionless,dɪrɛkʃɪnləs
directions,dɪrɛkʃɪnz
directive,dɪrɛktɪv
directives,dɪrɛktɪvz
directly,dɪrɛkli
directness,dɪrɛknəs
director,dɪrɛktər
directorate,dɪrɛktərət
directorial,dɪrɛktɔriəl
directories,dɪrɛktəriz
directors,dɪrɛktərz
directorship,dɪrɛktərʃɪp
directorships,dɪrɛktərʃɪps
directory,dɪrɛktəri
directs,dɪrɛkts
direst,daɪrəst
dirge,dərʤ
dirt,dərt
dirtier,dərtiər
dirtiest,dərtiəst
dirty,dərti
disabilities,dɪsəbɪlɪtiz
disability,dɪsəbɪlɪti
disable,dɪseɪbəl
disabled,dɪseɪbəld
disables,dɪseɪbəlz
disabling,dɪseɪblɪŋ
disabuse,dɪsəbjuz
disabused,dɪsəbjuzd
disadvantage,dɪsədvænɪʤ
disadvantaged,dɪsədvænɪʤd
disadvantageous,dɪsædvænteɪʤəs
disadvantages,dɪsədvænɪʤz
disaffected,dɪsəfɛktɪd
disaffection,dɪsəfɛkʃən
disagree,dɪsəgri
disagreeable,dɪsəgriəbəl
disagreed,dɪsəgrid
disagreeing,dɪsəgriɪŋ
disagreement,dɪsəgrimənt
disagreements,dɪsəgrimənts
disagrees,dɪsəgriz
disallow,dɪsəlaʊ
disallowed,dɪsəlaʊd
disallowing,dɪsəlaʊɪŋ
disappear,dɪsəpɪr
disappearance,dɪsəpɪrəns
disappearances,dɪsəpɪrənsɪz
disappeared,dɪsəpɪrd
disappearing,dɪsəpɪrɪŋ
disappears,dɪsəpɪrz
disappoint,dɪsəpɔɪnt
disappointed,dɪsəpɔɪnɪd
disappointing,dɪsəpɔɪnɪŋ
disappointingly,dɪsəpɔɪnɪŋli
disappointment,dɪsəpɔɪntmənt
disappointments,dɪsəpɔɪntmənts
disappoints,dɪsəpɔɪnts
disapproval,dɪsəpruvəl
disapprove,dɪsəpruv
disapproved,dɪsəpruvd
disapproves,dɪsəpruvz
disapproving,dɪsəpruvɪŋ
disarm,dɪsɑrm
disarmament,dɪsɑrməmənt
disarmed,dɪsɑrmd
disarming,dɪsɑrmɪŋ
disarmingly,dɪsɑrmɪŋli
disarray,dɪsəreɪ
disassemble,dɪsəsɛmbəl
disassembled,dɪsəsɛmbəld
disassociate,dɪsəsoʊʃieɪt
disassociated,dɪsəsoʊʃieɪtəd
disaster,dɪzæstər
disasters,dɪzæstərz
disastrous,dɪzæstrəs
disastrously,dɪzæstrəsli
disavow,dɪsəvaʊ
disavowed,dɪsəvaʊd
disavowing,dɪsəvaʊɪŋ
disband,dɪsbænd
disbanded,dɪsbændɪd
disbanding,dɪsbændɪŋ
disbelief,dɪsbɪlif
disbelieve,dɪsbɪliv
disbelieving,dɪsbɪlivɪŋ
disburse,dɪsbərs
disbursed,dɪsbərst
disbursement,dɪsbərsmənt
disbursements,dɪsbərsmənts
disc,dɪsk
discard,dɪskɑrd
discarded,dɪskɑrdɪd
discarding,dɪskɑrdɪŋ
discards,dɪskɑrdz
discern,dɪsərn
discerned,dɪsərnd
discernible,dɪsərnəbəl
discerning,dɪsərnɪŋ
discernment,dɪsərnmənt
discerns,dɪsərnz
discharge,dɪsʧɑrʤ
discharged,dɪsʧɑrʤd
discharges,dɪsʧɑrʤəz
discharging,dɪsʧɑrʤɪŋ
disciple,dɪsaɪpəl
disciples,dɪsaɪpəlz
disciplinarian,dɪsɪplɪnɛriən
disciplinarians,dɪsɪplɪnɛriənz
disciplinary,dɪsəplənɛri
discipline,dɪsəplən
disciplined,dɪsəplənd
disciplines,dɪsəplənz
disciplining,dɪsəplənɪŋ
disclaim,dɪskleɪm
disclaimed,dɪskleɪmd
disclaimer,dɪskleɪmər
disclaimers,dɪskleɪmərz
disclaiming,dɪskleɪmɪŋ
disclaims,dɪskleɪmz
disclose,dɪskloʊz
disclosed,dɪskloʊzd
discloses,dɪskloʊzɪz
disclosing,dɪskloʊzɪŋ
disclosure,dɪskloʊʒər
disclosures,dɪskloʊʒərz
disco,dɪskoʊ
discography,dɪskɔgrəfi
discomfort,dɪskəmfərt
disconcert,dɪskənsərt
disconcerting,dɪskənsərtɪŋ
disconnect,dɪskənɛkt
disconnected,dɪskənɛktɪd
disconnecting,dɪskənɛktɪŋ
disconnection,dɪskənɛkʃən
disconnects,dɪskənɛkts
discontent,dɪskəntɛnt
discontented,dɪskəntɛntɪd
discontentedly,dɪskəntɛntɪdli
discontents,dɪskəntɛnts
discontinuance,dɪskəntɪnjuəns
discontinuation,dɪskəntɪnjueɪʃən
discontinue,dɪskəntɪnju
discontinued,dɪskəntɪnjud
discontinuing,dɪskəntɪnjuɪŋ
discontinuity,dɪskɑntɪnuɪti
discord,dɪskɔrd
discordant,dɪskɔrdənt
discotheque,dɪskoʊtɛk
discotheques,dɪskoʊtɛks
discount,dɪskaʊnt
discountable,dɪskaʊntəbəl
discounted,dɪskaʊnɪd
discounting,dɪskaʊnɪŋ
discounts,dɪskaʊnts
discourage,dɪskərɪʤ
discouraged,dɪskərɪʤd
discouragement,dɪskərɪʤmənt
discourages,dɪskərɪʤɪz
discouraging,dɪskərɪʤɪŋ
discourse,dɪskɔrs
discourses,dɪskɔrsɪz
discover,dɪskəvər
discoverable,dɪskəvərəbəl
discovered,dɪskəvərd
discoverer,dɪskəvərər
discoverers,dɪskəvərərz
discoveries,dɪskəvəriz
discovering,dɪskəvərɪŋ
discovers,dɪskəvərz
discovery,dɪskəvri
discredit,dɪskrɛdət
discredited,dɪskrɛdɪtɪd
discrediting,dɪskrɛdətɪŋ
discredits,dɪskrɛdəts
discreet,dɪskrit
discreetly,dɪskritli
discrepancies,dɪskrɛpənsiz
discrepancy,dɪskrɛpənsi
discrete,dɪskrit
discretion,dɪskrɛʃən
discretionary,dɪskrɛʃənɛri
discriminate,dɪskrɪməneɪt
discriminated,dɪskrɪməneɪtɪd
discriminates,dɪskrɪməneɪts
discriminating,dɪskrɪməneɪtɪŋ
discrimination,dɪskrɪməneɪʃən
discriminative,dɪskrɪmənətɪv
discriminatory,dɪskrɪmənətɔri
discs,dɪsks
discursive,dɪskərsɪv
discus,dɪskəs
discuss,dɪskəs
discussed,dɪskəst
discusses,dɪskəsɪz
discussing,dɪskəsɪŋ
discussion,dɪskəʃən
discussions,dɪskəʃənz
disdain,dɪsdeɪn
disdained,dɪsdeɪnd
disdainful,dɪsdeɪnfəl
disdaining,dɪsdeɪnɪŋ
disease,dɪziz
diseased,dɪzizd
diseases,dɪzizɪz
disembark,dɪsɛmbɑrk
disembarkation,dɪsɛmbɑrkeɪʃən
disembodied,dɪsɪbɑdid
disenchanted,dɪsɪnʧænɪd
disenchantment,dɪsɪnʧæntmənt
disenfranchise,dɪsɪnfrænʧaɪz
disenfranchised,dɪsɪnfrænʧaɪzd
disenfranchisement,dɪsɪnfrænʧaɪzmənt
disengage,dɪsɪngeɪʤ
disengaged,dɪsɪngeɪʤd
disengagement,dɪsɪngeɪʤmənt
disengaging,dɪsɪngeɪʤɪŋ
disentangle,dɪsəntæŋgəl
disequilibrium,dɪsikwəlɪbriəm
disestablishment,dɪsɪstæblɪʃmənt
disfigure,dɪsfɪgjər
disfigured,dɪsfɪgjərd
disfigurement,dɪsfɪgjərmɛnt
disfiguring,dɪsfɪgjərɪŋ
disgorge,dɪsgɔrʤ
disgorged,dɪsgɔrʤd
disgrace,dɪsgreɪs
disgraced,dɪsgreɪst
disgraceful,dɪsgreɪsfəl
disgruntled,dɪsgrənəld
disgruntlement,dɪsgrəntəlmənt
disguise,dɪsgaɪz
disguised,dɪsgaɪzd
disguises,dɪsgaɪzɪz
disguising,dɪsgaɪzɪŋ
disgust,dɪsgəst
disgusted,dɪsgəstɪd
disgusting,dɪsgəstɪŋ
disgusts,dɪsgəsts
dish,dɪʃ
disharmony,dɪshɑrməni
disheartened,dɪshɑrtənd
disheartening,dɪshɑrtnɪŋ
dished,dɪʃt
dishes,dɪʃɪz
dishing,dɪʃɪŋ
dishonest,dɪsɑnəst
dishonestly,dɪsɔnəstli
dishonesty,dɪsɑnəsti
dishwasher,dɪʃwɑʃər
dishwashers,dɪʃwɑʃərz
disillusion,dɪsɪluʒən
disillusioned,dɪsɪluʒənd
disillusioning,dɪsɪluʒənɪŋ
disillusionment,dɪsɪluʒənmənt
disincentive,dɪsɪnsɛntɪv
disincentives,dɪsɪnsɛntɪvz
disinclination,dɪsɪnkləneɪʃən
disinclined,dɪsɪnklaɪnd
disinfect,dɪsɪnfɛkt
disinfectant,dɪsɪnfɛktənt
disinfectants,dɪsɪnfɛktənts
disinfection,dɪsɪnfɛkʃən
disinformation,dɪzɪnfərmeɪʃən
disingenuous,dɪsɪnʤɛnjuəs
disintegrate,dɪsɪntəgreɪt
disintegrated,dɪsɪntəgreɪtɪd
disintegrates,dɪsɪntəgreɪts
disintegrating,dɪsɪntəgreɪtɪŋ
disintegration,dɪsɪnəgreɪʃən
disinterest,dɪsɪntərəst
disinterested,dɪsɪntrɪstɪd
disinvestment,dɪsɪnvɛstmənt
disjoint,dɪsʤɔɪnt
disjointed,dɪsʤɔɪntɪd
diskette,dɪskɛt
diskettes,dɪskɛts
dislike,dɪslaɪk
disliked,dɪslaɪkt
dislikes,dɪslaɪks
disliking,dɪslaɪkɪŋ
dislocate,dɪsloʊkeɪt
dislocated,dɪsloʊkeɪtɪd
dislocation,dɪsloʊkeɪʃən
dislocations,dɪsloʊkeɪʃənz
dislodge,dɪslɑʤ
dislodged,dɪslɑʤd
dislodging,dɪslɑʤɪŋ
disloyal,dɪslɔɪəl
disloyalty,dɪslɔɪəlti
dismal,dɪzməl
dismally,dɪzməli
dismantle,dɪsmænəl
dismantled,dɪsmænəld
dismantles,dɪsmæntəlz
dismantling,dɪsmæntlɪŋ
dismay,dɪsmeɪ
dismayed,dɪsmeɪd
dismaying,dɪsmeɪɪŋ
dismays,dɪsmeɪz
dismember,dɪsmɛmbər
dismembered,dɪsmɛmbərd
dismembering,dɪsmɛmbərɪŋ
dismemberment,dɪsmɛmbərmənt
dismiss,dɪsmɪs
dismissal,dɪsmɪsəl
dismissals,dɪsmɪsəlz
dismissed,dɪsmɪst
dismisses,dɪsmɪsɪz
dismissing,dɪsmɪsɪŋ
dismissive,dɪsmɪsɪv
disobedience,dɪsəbidiəns
disobedient,dɪsəbidiənt
disobey,dɪsəbeɪ
disobeyed,dɪsoʊbeɪd
disobeying,dɪsoʊbeɪɪŋ
disorder,dɪsɔrdər
disordered,dɪsɔrdərd
disorderly,dɪsɔrdərli
disorders,dɪsɔrdərz
disorient,dɪsɔriɛnt
disorientation,dɪsɔriənteɪʃən
disoriented,dɪsɔriɛntɪd
disown,dɪsoʊn
disowned,dɪsoʊnd
disparage,dɪspɛrɪʤ
disparaged,dɪspɛrɪʤd
disparaging,dɪspɛrɪʤɪŋ
disparagingly,dɪspɛrɪʤɪŋli
disparate,dɪspərɪt
disparities,dɪspɛrətiz
disparity,dɪspɛrəti
dispassionate,dɪspæʃənət
dispassionately,dɪspæʃənətli
dispatch,dɪspæʧ
dispatched,dɪspæʧt
dispatcher,dɪspæʧər
dispatchers,dɪspæʧərz
dispatches,dɪspæʧɪz
dispatching,dɪspæʧɪŋ
dispel,dɪspɛl
dispelled,dɪspɛld
dispelling,dɪspɛlɪŋ
dispels,dɪspɛlz
dispensable,dɪspɛnsəbəl
dispensary,dɪspɛnsɛri
dispensation,dɪspənseɪʃən
dispense,dɪspɛns
dispensed,dɪspɛnst
dispenser,dɪspɛnsər
dispensers,dɪspɛnsərz
dispenses,dɪspɛnsɪz
dispensing,dɪspɛnsɪŋ
dispersal,dɪspərsəl
dispersant,dɪspərsənt
disperse,dɪspərs
dispersed,dɪspərst
dispersing,dɪspərsɪŋ
dispersion,dɪspərʒən
dispersive,dɪspərsɪv
dispirited,dɪspɪrətɪd
dispiriting,dɪspɪrɪtɪŋ
displace,dɪspleɪs
displaced,dɪspleɪst
displacement,dɪspleɪsmənt
displacements,dɪspleɪsmənts
displaces,dɪspleɪsɪz
displacing,dɪspleɪsɪŋ
display,dɪspleɪ
displayed,dɪspleɪd
displaying,dɪspleɪɪŋ
displays,dɪspleɪz
displease,dɪspliz
displeased,dɪsplizd
displeasure,dɪsplɛʒər
disposable,dɪspoʊzəbəl
disposables,dɪspoʊzəbəlz
disposal,dɪspoʊzəl
disposals,dɪspoʊzəlz
dispose,dɪspoʊz
disposed,dɪspoʊzd
disposer,dɪspoʊzər
disposes,dɪspoʊzɪz
disposing,dɪspoʊzɪŋ
disposition,dɪspəzɪʃən
dispositions,dɪspəzɪʃənz
dispossess,dɪspəzɛs
dispossessed,dɪspəzɛst
disproportionate,dɪsprəpɔrʃənɪt
disproportionately,dɪsprəpɔrʃənətli
disprove,dɪspruv
disproved,dɪspruvd
disproves,dɪspruvz
disputable,dɪspjutəbəl
disputation,dɪspjuteɪʃən
dispute,dɪspjut
disputed,dɪspjutɪd
disputes,dɪspjuts
disputing,dɪspjutɪŋ
disqualification,dɪskwɑləfəkeɪʃən
disqualified,dɪskwɑləfaɪd
disqualifies,dɪskwɑləfaɪz
disqualify,dɪskwɑləfaɪ
disqualifying,dɪskwɑləfaɪɪŋ
disquiet,dɪskwaɪət
disquieting,dɪskwaɪətɪŋ
disregard,dɪsrɪgɑrd
disregarded,dɪsrɪgɑrdɪd
disregarding,dɪsrɪgɑrdɪŋ
disregards,dɪsrɪgɑrdz
disrepair,dɪsrɪpɛr
disreputable,dɪsrɛpjətəbəl
disrepute,dɪsrɪpjut
disrespect,dɪsrɪspɛkt
disrespectful,dɪsrɪspɛktfəl
disrespects,dɪsrɪspɛkts
disrupt,dɪsrəpt
disrupted,dɪsrəptɪd
disrupting,dɪsrəptɪŋ
disruption,dɪsrəpʃən
disruptions,dɪsrəpʃənz
disruptive,dɪsrəptɪv
disrupts,dɪsrəpts
dissatisfaction,dɪsætɪsfækʃən
dissatisfied,dɪsætəsfaɪd
dissatisfy,dɪsætəsfaɪ
dissect,daɪsɛkt
dissected,daɪsɛktəd
dissecting,daɪsɛktɪŋ
dissection,daɪsɛkʃən
